marca,modelo,precio,anno,kilometros,combustible,transmision,potencia,fuente,carroceria
VOLKSWAGEN,GOLF,15000.0,2014.0,140000.0,Diésel,Automatico,10512.0,coches.net,berlina
PEUGEOT,RIFTER,14000.0,2020.0,170000.0,Diésel,Manual,10012.0,coches.net,utilitario
PEUGEOT,2008,8500.0,2016.0,100000.0,Gasolina,Manual,11012.0,coches.net,utilitario
BMW,SERIE 3,11000.0,2014.0,230000.0,Diésel,Automatico,11612.0,coches.net,berlina
AUDI,Q7,40000.0,2018.0,260000.0,Diésel,Automatico,43512.0,coches.net,utilitario
BMW,X6,28500.0,2016.0,180000.0,Diésel,Automatico,25812.0,coches.net,utilitario
RENAULT,TRAFIC,29990.0,2024.0,31000.0,Diésel,Manual,11012.0,coches.net,utilitario
PEUGEOT,2008,13990.0,2021.0,55000.0,Gasolina,Manual,10012.0,coches.net,utilitario
MINI,MINI,16900.0,2018.0,84895.0,Diésel,Manual,9512.0,coches.net,berlina
MERCEDES-BENZ,CLASE A,23990.0,2022.0,133000.0,Diésel,Automatico,11612.0,coches.net,berlina
MERCEDES-BENZ,CLASE B,11000.0,2014.0,200000.0,Diésel,Manual,10912.0,coches.net,utilitario
MERCEDES-BENZ,CLASE GLC,22500.0,2015.0,200000.0,Diésel,Automatico,17012.0,coches.net,utilitario
CITROEN,C3 AIRCROSS,9470.0,2018.0,89000.0,Gasolina,Manual,13112.0,coches.net,utilitario
CITROEN,C3 AIRCROSS,9290.0,2019.0,109000.0,Gasolina,Manual,8212.0,coches.net,utilitario
BMW,X6,39990.0,2014.0,115000.0,Diésel,Automatico,38112.0,coches.net,utilitario
VOLKSWAGEN,T-ROC,19990.0,2021.0,99000.0,Gasolina,Manual,11012.0,coches.net,utilitario
CITROEN,C3 AIRCROSS,9290.0,2019.0,105000.0,Gasolina,Manual,8212.0,coches.net,utilitario
CUPRA,TERRAMAR,47900.0,2025.0,99.0,Gasolina,Automatico,26512.0,coches.net,utilitario
JEEP,AVENGER,16990.0,2024.0,71000.0,Gasolina,Manual,10012.0,coches.net,utilitario
HYUNDAI,I10,10990.0,2023.0,73000.0,Gasolina,Manual,6712.0,coches.net,berlina
HYUNDAI,I10,10990.0,2023.0,72000.0,Gasolina,Manual,6712.0,coches.net,berlina
SEAT,IBIZA,8399.0,2015.0,185179.0,Diésel,Manual,10512.0,coches.net,berlina
VOLKSWAGEN,TIGUAN,22990.0,2021.0,63500.0,Gasolina,Manual,13012.0,coches.net,utilitario
SMART,FORFOUR,7990.0,2016.0,104000.0,Gasolina,Manual,7112.0,coches.net,berlina
MERCEDES-BENZ,CLASE C,18500.0,2016.0,180000.0,Diésel,Automatico,17012.0,coches.net,berlina
