marca,modelo,version,precio,año,kilometros,combustible,transmision,potencia,puertas,link
Ford,Transit,2.0 TDCi 170CV Custom Sport,18600,2023.0,49800,Hybrid,MANUAL,175,5.0,https://www.coches.net/vehiculos-industriales/ford-transit/24529676-5318.htm
Renault,Master,2.3 dCi 110CV L2H2 FWD,37000,2022.0,65400,Electric,M,105,3.0,https://www.coches.net/vehiculos-industriales/renault-master/78889344-6655.htm
MAN,TGE,3.5 2.0 TDI 102CV L2H2,,2020.0,130700,gasoil,manual,102,3.0,https://www.coches.net/vehiculos-industriales/man-tge/95770868-2829.htm
Toyota,Proace City,1.5 D-4D 100CV,17200,2021.0,100200,diesel,Auto,100,5.0,https://www.coches.net/vehiculos-industriales/toyota-proace-city/43020100-5754.htm
Mercedes-Benz,Sprinter,316 CDI Gran Volumen,16700,2021.0,126100,Gasoil,MANUAL,150,3.0,https://www.coches.net/vehiculos-industriales/mercedes-benz-sprinter/36457848-2854.htm
Citroën,Berlingo,1.5 BlueHDi 100CV Talla M,7500,2018.0,,diesel,Auto,100,5.0,https://www.coches.net/vehiculos-industriales/citroen-berlingo/88356174-2495.htm
Fiat,Ducato,2.3 Multijet 160CV L3H3,40200,2023.0,51900,Eléctrico,DSG,165,5.0,https://www.coches.net/vehiculos-industriales/fiat-ducato/31319091-1739.htm
Renault,Trafic,2.0 dCi 120CV L1H1,29500 €,2023.0,34700,gasoil,M,125,3.0,https://www.coches.net/vehiculos-industriales/renault-trafic/14429834-1626.htm
Citroën,Berlingo,1.5 BlueHDi 100CV Talla M,21100,2018.0,169500,diesel,MANUAL,100,5.0,https://www.coches.net/vehiculos-industriales/citroen-berlingo/63799918-4628.htm
Volkswagen,Transporter,2.0 TDI 102CV Kombi,31800,2023.0,35100,Diesel,M,102,5.0,https://www.coches.net/vehiculos-industriales/volkswagen-transporter/82952179-5335.htm
Peugeot,Boxer,2.2 BlueHDi 140CV L3H3,12000,2019.0,153300,GASOLINA,MANUAL,145,3.0,https://www.coches.net/vehiculos-industriales/peugeot-boxer/91811609-2850.htm
Peugeot,Boxer,2.2 BlueHDi 140CV L3H3,21600,,,Gasolina,AT,140,3.0,https://www.coches.net/vehiculos-industriales/peugeot-boxer/10916723-97.htm
Iveco,Daily,35S16 2.3 Furgon,18000,2019.0,150600,DIESEL,M,100,3.0,https://www.coches.net/vehiculos-industriales/iveco-daily/36774319-354.htm
Ford,Transit,2.0 TDCi 130CV L2 H2 Trend,18300,2022.0,57200,Diesel,MANUAL,130,3.0,https://www.coches.net/vehiculos-industriales/ford-transit/50288055-309.htm
Peugeot,Boxer,2.0 BlueHDi 160CV L4H2,23900,2021.0,66800 km,diesel,M6,165,5.0,https://www.coches.net/vehiculos-industriales/peugeot-boxer/19391366-5874.htm
Peugeot,Partner,Electric 136CV,24600,2021.0,84500,Eléctrico,manual,136,3.0,https://www.coches.net/vehiculos-industriales/peugeot-partner/16145676-6010.htm
Opel,Vivaro,2.0 Diesel 180CV Combi,24600,2020.0,106000,diesel,manual,175,5.0,https://www.coches.net/vehiculos-industriales/opel-vivaro/82706043-1909.htm
Volkswagen,Caddy,2.0 TDI 75CV,28400,2024.0,13000,DIESEL,M,,5.0,https://www.coches.net/vehiculos-industriales/volkswagen-caddy/69853179-4298.htm
Iveco,Daily,50C17 3.0 Caja Abierta,10400,2016.0,273500,gasolina,Manual,100,5.0,https://www.coches.net/vehiculos-industriales/iveco-daily/65629799-1420.htm
Iveco,Daily,50C17 3.0 Caja Abierta,26600,2023.0,50400,Gasoil,M,,3.0,https://www.coches.net/vehiculos-industriales/iveco-daily/91599959-4717.htm
Peugeot,Partner,1.2 PureTech 110CV,14700,2018.0,164300,GASOLINA,Manual,110,5.0,https://www.coches.net/vehiculos-industriales/peugeot-partner/80197320-2325.htm
Opel,Combo,1.2 Turbo 110CV,15600,2021.0,85200,Diesel,Manual,110,5.0,https://www.coches.net/vehiculos-industriales/opel-combo/66104568-6160.htm
Volkswagen,Crafter,2.0 TDI 102CV L3H2,31200,2023.0,50900,Diesel,Auto,97,3.0,https://www.coches.net/vehiculos-industriales/volkswagen-crafter/11422855-2815.htm
Volkswagen,Transporter,,13800,2018.0,145600,gasoil,Manual,199,3.0,https://www.coches.net/vehiculos-industriales/volkswagen-transporter/37917147-2692.htm
Volkswagen,Transporter,2.0 TDI 110CV L1H1,10700,2015.0,328600,Diésel,manual,110,3.0,https://www.coches.net/vehiculos-industriales/volkswagen-transporter/37243675-2691.htm
