marca,modelo,precio,año,kilometros,combustible,transmision,potencia,fuente,carroceria
Ford,Transit,18600,2023.0,49800,Hybrid,MANUAL,175,coches.net,furgoneta
Renault,Master,37000,2022.0,65400,Electric,M,105,coches.net,furgoneta
MAN,TGE,,2020.0,130700,gasoil,manual,102,coches.net,furgoneta
Toyota,Proace City,17200,2021.0,100200,diesel,Auto,100,coches.net,furgoneta
Mercedes-Benz,Sprinter,16700,2021.0,126100,Gasoil,MANUAL,150,coches.net,furgoneta
Citroën,Berlingo,7500,2018.0,,diesel,Auto,100,coches.net,furgoneta
Fiat,Ducato,40200,2023.0,51900,Eléctrico,DSG,165,coches.net,furgoneta
Renault,Trafic,29500 €,2023.0,34700,gasoil,M,125,coches.net,furgoneta
Citroën,Berlingo,21100,2018.0,169500,diesel,MANUAL,100,coches.net,furgoneta
Volkswagen,Transporter,31800,2023.0,35100,Diesel,M,102,coches.net,furgoneta
Peugeot,Boxer,12000,2019.0,153300,GASOLINA,MANUAL,145,coches.net,furgoneta
Peugeot,Boxer,21600,,,Gasolina,AT,140,coches.net,furgoneta
Iveco,Daily,18000,2019.0,150600,DIESEL,M,100,coches.net,furgoneta
Ford,Transit,18300,2022.0,57200,Diesel,MANUAL,130,coches.net,furgoneta
Peugeot,Boxer,23900,2021.0,66800 km,diesel,M6,165,coches.net,furgoneta
Peugeot,Partner,24600,2021.0,84500,Eléctrico,manual,136,coches.net,furgoneta
Opel,Vivaro,24600,2020.0,106000,diesel,manual,175,coches.net,furgoneta
Volkswagen,Caddy,28400,2024.0,13000,DIESEL,M,,coches.net,furgoneta
Iveco,Daily,10400,2016.0,273500,gasolina,Manual,100,coches.net,furgoneta
Iveco,Daily,26600,2023.0,50400,Gasoil,M,,coches.net,furgoneta
Peugeot,Partner,14700,2018.0,164300,GASOLINA,Manual,110,coches.net,furgoneta
Opel,Combo,15600,2021.0,85200,Diesel,Manual,110,coches.net,furgoneta
Volkswagen,Crafter,31200,2023.0,50900,Diesel,Auto,97,coches.net,furgoneta
Volkswagen,Transporter,13800,2018.0,145600,gasoil,Manual,199,coches.net,furgoneta
Volkswagen,Transporter,10700,2015.0,328600,Diésel,manual,110,coches.net,furgoneta
