marca,modelo,precio,año,kilometros,combustible,transmision,potencia,fuente,carroceria
ford,transit,18600.0,2023,49800.0,hibrido,manual,175,coches.net,furgoneta
renault,master,37000.0,2022,65400.0,electrico,manual,105,coches.net,furgoneta
toyota,proace city,17200.0,2021,100200.0,diesel,automatica,100,coches.net,furgoneta
mercedes-benz,sprinter,16700.0,2021,126100.0,diesel,manual,150,coches.net,furgoneta
fiat,ducato,40200.0,2023,51900.0,electrico,automatica,165,coches.net,furgoneta
renault,trafic,29500.0,2023,34700.0,diesel,manual,125,coches.net,furgoneta
citroën,berlingo,21100.0,2018,169500.0,diesel,manual,100,coches.net,furgoneta
volkswagen,transporter,31800.0,2023,35100.0,diesel,manual,102,coches.net,furgoneta
peugeot,boxer,12000.0,2019,153300.0,gasolina,manual,145,coches.net,furgoneta
iveco,daily,18000.0,2019,150600.0,diesel,manual,100,coches.net,furgoneta
ford,transit,18300.0,2022,57200.0,diesel,manual,130,coches.net,furgoneta
peugeot,boxer,23900.0,2021,66800.0,diesel,manual,165,coches.net,furgoneta
peugeot,partner,24600.0,2021,84500.0,electrico,manual,136,coches.net,furgoneta
opel,vivaro,24600.0,2020,106000.0,diesel,manual,175,coches.net,furgoneta
iveco,daily,10400.0,2016,273500.0,gasolina,manual,100,coches.net,furgoneta
peugeot,partner,14700.0,2018,164300.0,gasolina,manual,110,coches.net,furgoneta
opel,combo,15600.0,2021,85200.0,diesel,manual,110,coches.net,furgoneta
volkswagen,crafter,31200.0,2023,50900.0,diesel,automatica,97,coches.net,furgoneta
volkswagen,transporter,13800.0,2018,145600.0,diesel,manual,199,coches.net,furgoneta
volkswagen,transporter,10700.0,2015,328600.0,diesel,manual,110,coches.net,furgoneta
fiat,scudo,21400.0,2018,154100.0,diesel,automatica,115,coches.net,furgoneta
fiat,scudo,19500.0,2020,139600.0,diesel,automatica,145,coches.net,furgoneta
renault,trafic,29900.0,2021,85300.0,diesel,manual,155,coches.net,furgoneta
volkswagen,transporter,15600.0,2022,58900.0,diesel,manual,110,coches.net,furgoneta
mercedes-benz,sprinter,35000.0,2021,92000.0,electrico,manual,120,coches.net,furgoneta
volkswagen,crafter,28200.0,2022,48600.0,diesel,manual,182,coches.net,furgoneta
toyota,proace city,18900.0,2018,185100.0,diesel,automatica,110,coches.net,furgoneta
iveco,daily,27200.0,2022,67800.0,diesel,manual,75,coches.net,furgoneta
volkswagen,caddy,30900.0,2020,109900.0,gasolina,manual,114,coches.net,furgoneta
fiat,doblo cargo,25500.0,2023,36000.0,diesel,manual,90,coches.net,furgoneta
peugeot,partner,17400.0,2020,122500.0,diesel,manual,100,coches.net,furgoneta
ford,transit connect,23200.0,2020,165600.0,electrico,manual,125,coches.net,furgoneta
hyundai,h350,14300.0,2018,220500.0,diesel,automatica,141,coches.net,furgoneta
mercedes-benz,citan,30400.0,2024,25800.0,gasolina,manual,140,coches.net,furgoneta
opel,combo,30900.0,2024,23500.0,electrico,manual,95,coches.net,furgoneta
citroën,berlingo,24300.0,2024,16800.0,gasolina,manual,110,coches.net,furgoneta
toyota,proace city,33500.0,2024,22900.0,diesel,automatica,100,coches.net,furgoneta
iveco,daily,31600.0,2024,17100.0,diesel,manual,130,coches.net,furgoneta
opel,movano,29800.0,2020,163200.0,diesel,manual,110,coches.net,furgoneta
opel,vivaro,21900.0,2024,28000.0,diesel,manual,95,coches.net,furgoneta
fiat,scudo,26700.0,2022,73200.0,diesel,manual,145,coches.net,furgoneta
peugeot,partner,29200.0,2022,70000.0,electrico,manual,136,coches.net,furgoneta
opel,vivaro,13500.0,2019,105300.0,diesel,manual,180,coches.net,furgoneta
volkswagen,transporter,15000.0,2017,193800.0,diesel,manual,150,coches.net,furgoneta
volkswagen,transporter,3450000.0,2022,68700.0,diesel,manual,155,coches.net,furgoneta
mercedes-benz,citan,34700.0,2021,94600.0,diesel,automatica,75,coches.net,furgoneta
opel,vivaro,18800.0,2023,51800.0,diesel,automatica,105,coches.net,furgoneta
iveco,daily,29200.0,2024,20300.0,diesel,manual,150,coches.net,furgoneta
volkswagen,transporter,29100.0,2020,136100.0,gasolina,manual,150,coches.net,furgoneta
mercedes-benz,sprinter,27100.0,2019,136700.0,gasolina,manual,102,coches.net,furgoneta
hyundai,h350,22300.0,2018,142500.0,gas,manual,136,coches.net,furgoneta
volkswagen,caddy,19600.0,2017,203600.0,gasolina,manual,119,coches.net,furgoneta
volkswagen,caddy,19300.0,2019,185100.0,diesel,manual,102,coches.net,furgoneta
peugeot,partner,9300.0,2015,254100.0,gasolina,manual,105,coches.net,furgoneta
nissan,nv400,19500.0,2018,236600.0,diesel,manual,145,coches.net,furgoneta
opel,combo,29000.0,2022,84700.0,gas,manual,110,coches.net,furgoneta
renault,trafic,27300.0,2024,25100.0,diesel,manual,90,coches.net,furgoneta
citroën,jumpy,28200.0,2022,73700.0,diesel,manual,125,coches.net,furgoneta
volkswagen,transporter,42800.0,2024,15300.0,electrico,automatica,97,coches.net,furgoneta
fiat,doblo cargo,17400.0,2021,101700.0,diesel,manual,105,coches.net,furgoneta
opel,combo,22200.0,2020,102500.0,diesel,manual,100,coches.net,furgoneta
nissan,nv200,25600.0,2022,61300.0,diesel,manual,110,coches.net,furgoneta
volkswagen,caddy,18500.0,2017,292100.0,gasolina,manual,114,coches.net,furgoneta
iveco,daily,22400.0,2021,139800.0,diesel,manual,100,coches.net,furgoneta
peugeot,partner,30600.0,2021,97400.0,electrico,manual,136,coches.net,furgoneta
renault,trafic,9200.0,2020,122200.0,diesel,manual,120,coches.net,furgoneta
hyundai,h350,27600.0,2022,76900.0,diesel,manual,175,coches.net,furgoneta
renault,master,7500.0,2017,227300.0,diesel,manual,145,coches.net,furgoneta
fiat,ducato,27000.0,2023,55100.0,diesel,manual,130,coches.net,furgoneta
opel,combo,15700.0,2019,137500.0,gasolina,automatica,110,coches.net,furgoneta
nissan,nv400,19300.0,2022,96100.0,electrico,manual,140,coches.net,furgoneta
peugeot,boxer,16300.0,2022,70500.0,diesel,manual,135,coches.net,furgoneta
ford,transit courier,23900.0,2023,52800.0,gasolina,manual,95,coches.net,furgoneta
opel,vivaro,24100.0,2021,98600.0,diesel,manual,125,coches.net,furgoneta
mercedes-benz,sprinter,24400.0,2023,33600.0,gasolina,manual,140,coches.net,furgoneta
toyota,proace,14100.0,2018,169400.0,hibrido,manual,150,coches.net,furgoneta
mercedes-benz,vito,20700.0,2018,196200.0,diesel,manual,100,coches.net,furgoneta
ford,transit connect,18000.0,2019,140900.0,diesel,manual,105,coches.net,furgoneta
citroën,jumpy,9600.0,2017,244500.0,diesel,manual,120,coches.net,furgoneta
mercedes-benz,vito,18300.0,2022,79800.0,diesel,manual,102,coches.net,furgoneta
hyundai,staria,10700.0,2017,167600.0,gasolina,manual,182,coches.net,furgoneta
fiat,doblo cargo,12500.0,2019,142200.0,diesel,automatica,85,coches.net,furgoneta
ford,transit courier,17600.0,2023,37400.0,gasolina,manual,75,coches.net,furgoneta
maxus,ev80,14300.0,2017,293100.0,electrico,automatica,115,coches.net,furgoneta
citroën,berlingo,28800.0,2022,71500.0,gasolina,manual,115,coches.net,furgoneta
mercedes-benz,sprinter,43900.0,2023,38300.0,electrico,manual,130,coches.net,furgoneta
opel,combo,38800.0,2022,81700.0,electrico,manual,105,coches.net,furgoneta
citroën,berlingo,26500.0,2021,97500.0,diesel,manual,100,coches.net,furgoneta
volkswagen,transporter,29200.0,2024,26400.0,gas,manual,110,coches.net,furgoneta
nissan,nv400,18500.0,2022,67400.0,diesel,manual,140,coches.net,furgoneta
peugeot,expert,30700.0,2023,54700.0,electrico,manual,100,coches.net,furgoneta
citroën,jumper,8500.0,2016,308800.0,diesel,automatica,165,coches.net,furgoneta
volkswagen,crafter,30500.0,2024,27600.0,diesel,automatica,140,coches.net,furgoneta
toyota,proace city,17800.0,2023,45900.0,diesel,automatica,100,coches.net,furgoneta
fiat,scudo,22600.0,2022,56600.0,diesel,manual,115,coches.net,furgoneta
ford,transit courier,13800.0,2017,229900.0,gasolina,automatica,100,coches.net,furgoneta
fiat,ducato,28800.0,2023,38800.0,diesel,manual,125,coches.net,furgoneta
ford,transit connect,21000.0,2022,68600.0,hibrido,manual,75,coches.net,furgoneta
ford,transit courier,23300.0,2021,118100.0,gasolina,manual,80,coches.net,furgoneta
ford,transit,23100.0,2022,80600.0,diesel,manual,165,coches.net,furgoneta
mercedes-benz,sprinter,29900.0,2023,60000.0,diesel,manual,102,coches.net,furgoneta
iveco,daily,16800.0,2022,92700.0,diesel,automatica,102,coches.net,furgoneta
nissan,nv400,27800.0,2023,65600.0,diesel,manual,105,coches.net,furgoneta
maxus,deliver 9,13700.0,2016,250200.0,diesel,manual,150,coches.net,furgoneta
volkswagen,caddy,30300.0,2024,17300.0,gasolina,manual,114,coches.net,furgoneta
renault,trafic,20600.0,2021,83100.0,gasolina,manual,95,coches.net,furgoneta
