marca,modelo,precio,año,kilometros,combustible,transmision,potencia,fuente,carroceria
ford,transit,18600.0,2023,49800.0,hibrido,manual,175,coches.net,furgoneta
toyota,proace city,17200.0,2021,100200.0,diesel,automatica,100,coches.net,furgoneta
ford,transit,18300.0,2022,57200.0,diesel,manual,130,coches.net,furgoneta
opel,combo,15600.0,2021,85200.0,diesel,manual,110,coches.net,furgoneta
volkswagen,transporter,15600.0,2022,58900.0,diesel,manual,110,coches.net,furgoneta
opel,vivaro,18800.0,2023,51800.0,diesel,automatica,105,coches.net,furgoneta
fiat,doblo cargo,17400.0,2021,101700.0,diesel,manual,105,coches.net,furgoneta
nissan,nv400,19300.0,2022,96100.0,electrico,manual,140,coches.net,furgoneta
peugeot,boxer,16300.0,2022,70500.0,diesel,manual,135,coches.net,furgoneta
mercedes-benz,vito,18300.0,2022,79800.0,diesel,manual,102,coches.net,furgoneta
ford,transit courier,17600.0,2023,37400.0,gasolina,manual,75,coches.net,furgoneta
nissan,nv400,18500.0,2022,67400.0,diesel,manual,140,coches.net,furgoneta
toyota,proace city,17800.0,2023,45900.0,diesel,automatica,100,coches.net,furgoneta
iveco,daily,16800.0,2022,92700.0,diesel,automatica,102,coches.net,furgoneta
nissan,nv400,14800.0,2022,58400.0,diesel,automatica,145,coches.net,furgoneta
mercedes-benz,vito,17000.0,2021,91400.0,diesel,manual,100,coches.net,furgoneta
renault,master,17500.0,2021,65700.0,diesel,manual,180,coches.net,furgoneta
iveco,daily,11900.0,2020,96000.0,diesel,manual,140,coches.net,furgoneta
toyota,proace,18100.0,2021,104700.0,diesel,manual,120,coches.net,furgoneta
fiat,scudo,17900.0,2024,23400.0,diesel,manual,125,coches.net,furgoneta
peugeot,boxer,14200.0,2021,111300.0,diesel,manual,125,coches.net,furgoneta
volkswagen,caddy,16700.0,2023,36900.0,gasolina,manual,109,coches.net,furgoneta
toyota,proace,16800.0,2023,40600.0,diesel,manual,115,coches.net,furgoneta
opel,vivaro,19900.0,2024,19200.0,gasolina,manual,180,coches.net,furgoneta
toyota,proace,17400.0,2023,53200.0,diesel,manual,150,coches.net,furgoneta
ford,transit connect,19100.0,2020,63600.0,diesel,manual,120,coches.net,furgoneta
ford,transit connect,19900.0,2021,94500.0,diesel,manual,125,coches.net,furgoneta
volkswagen,transporter,13200.0,2022,69600.0,diesel,manual,107,coches.net,furgoneta
nissan,nv400,19100.0,2022,70200.0,hibrido,manual,140,coches.net,furgoneta
fiat,scudo,18500.0,2021,92800.0,diesel,manual,145,coches.net,furgoneta
citroën,jumper,15100.0,2021,91800.0,diesel,manual,165,coches.net,furgoneta
opel,vivaro,15900.0,2022,69800.0,diesel,manual,100,coches.net,furgoneta
ford,transit connect,14600.0,2020,104900.0,diesel,manual,120,coches.net,furgoneta
renault,trafic,15000.0,2020,102600.0,diesel,manual,90,coches.net,furgoneta
fiat,scudo,13200.0,2022,72500.0,diesel,manual,150,coches.net,furgoneta
nissan,nv400,17400.0,2020,111900.0,electrico,manual,115,coches.net,furgoneta
maxus,deliver 9,14000.0,2021,94000.0,electrico,automatica,150,coches.net,furgoneta
ford,transit,14800.0,2020,113300.0,diesel,automatica,135,coches.net,furgoneta
renault,master,14000.0,2021,83900.0,diesel,manual,145,coches.net,furgoneta
man,tge,18000.0,2022,89700.0,diesel,manual,135,coches.net,furgoneta
citroën,jumper,14900.0,2023,54800.0,diesel,manual,140,coches.net,furgoneta
hyundai,staria,14500.0,2021,80100.0,diesel,manual,182,coches.net,furgoneta
citroën,jumper,11800.0,2020,118800.0,diesel,manual,155,coches.net,furgoneta
peugeot,boxer,18300.0,2023,40000.0,diesel,manual,140,coches.net,furgoneta
hyundai,h350,19800.0,2020,111500.0,diesel,manual,136,coches.net,furgoneta
renault,trafic,11300.0,2020,115900.0,diesel,manual,95,coches.net,furgoneta
mercedes-benz,sprinter,17000.0,2020,54600.0,diesel,manual,150,coches.net,furgoneta
renault,kangoo,16900.0,2021,88000.0,electrico,manual,90,coches.net,furgoneta
opel,combo,18900.0,2023,49100.0,diesel,manual,95,coches.net,furgoneta
ford,transit connect,15600.0,2021,100600.0,diesel,manual,75,coches.net,furgoneta
opel,vivaro,18800.0,2020,104500.0,diesel,manual,185,coches.net,furgoneta
peugeot,partner,18600.0,2023,58500.0,gasolina,manual,105,coches.net,furgoneta
iveco,daily,19500.0,2022,59600.0,diesel,manual,130,coches.net,furgoneta
renault,trafic,19500.0,2021,91100.0,gasolina,manual,150,coches.net,furgoneta
ford,transit courier,16900.0,2022,75000.0,gasolina,manual,100,coches.net,furgoneta
peugeot,partner,15700.0,2023,27100.0,gasolina,automatica,110,coches.net,furgoneta
volkswagen,transporter,18900.0,2023,38100.0,diesel,manual,110,coches.net,furgoneta
citroën,jumpy,19300.0,2021,103400.0,diesel,manual,115,coches.net,furgoneta
ford,transit,19500.0,2022,76800.0,diesel,manual,130,coches.net,furgoneta
